checked_at,generated_at,section,rank,total,places,score,priority,consent,enrolled
2026-08-21T22:10:25,22.08.2026 00:49:25,"Лица, поступающие по общему конкурсу (мест: 200)",142,200,200,94,1,да,нет
2026-08-21T22:37:59,22.08.2026 01:17:05,"Лица, поступающие по общему конкурсу (мест: 200)",142,200,200,94,1,да,нет
2026-08-21T22:56:20,22.08.2026 01:17:05,"Лица, поступающие по общему конкурсу (мест: 200)",142,200,200,94,1,да,нет
2026-08-21T23:37:44,22.08.2026 02:17:38,"Лица, поступающие по общему конкурсу (мест: 200)",142,200,200,94,1,да,нет
2026-08-21T23:55:32,22.08.2026 02:17:38,"Лица, поступающие по общему конкурсу (мест: 200)",142,200,200,94,1,да,нет
2026-08-22T00:33:13,22.08.2026 03:17:13,"Лица, поступающие по общему конкурсу (мест: 200)",142,200,200,94,1,да,нет
2026-08-22T02:00:34,22.08.2026 04:47:06,"Лица, поступающие по общему конкурсу (мест: 200)",142,200,200,94,1,да,нет
2026-08-22T04:45:16,22.08.2026 07:16:38,"Лица, поступающие по общему конкурсу (мест: 200)",142,200,200,94,1,да,нет
2026-08-22T05:36:37,22.08.2026 08:17:10,"Лица, поступающие по общему конкурсу (мест: 200)",142,200,200,94,1,да,нет
2026-08-22T05:57:39,22.08.2026 08:17:10,"Лица, поступающие по общему конкурсу (мест: 200)",142,200,200,94,1,да,нет
2026-08-22T06:29:30,22.08.2026 08:52:10,"Лица, поступающие по общему конкурсу (мест: 200)",142,200,200,94,1,да,нет
2026-08-22T07:41:43,22.08.2026 10:18:22,"Лица, поступающие по общему конкурсу (мест: 200)",148,200,200,94,1,да,нет
2026-08-22T08:28:52,22.08.2026 10:50:02,"Лица, поступающие по общему конкурсу (мест: 200)",149,200,200,94,1,да,нет
2026-08-22T08:57:07,22.08.2026 11:18:11,"Лица, поступающие по общему конкурсу (мест: 200)",149,200,200,94,1,да,нет
2026-08-22T09:20:01,22.08.2026 11:48:32,"Лица, поступающие по общему конкурсу (мест: 200)",149,200,200,94,1,да,нет
2026-08-22T10:01:12,22.08.2026 12:47:55,"Лица, поступающие по общему конкурсу (мест: 200)",149,200,200,94,1,да,нет
